LandisData	"Dynamic Input Data"				
					
>>Year	Ecoregion	Species	ProbEst	MaxANPP	MaxB
>>____	_________	_______	_______	_______	____
0	40	BETUALLE	0.929	1169	35070
0	40	BETULENT	0.464	1169	35070
0	40	BETUPAPY	0.764	1225	36750
0	40	CARYCORD	0.232	1355	40650
0	40	CARYOVAT	0.002	1355	40650
0	40	FAGUGRAN	0.259	1059	31770
0	40	FRAXAMER	0.261	1082	32460
0	40	PICEABIE	0.884	314	15700
0	40	PICERUBE	0.866	322	16100
0	40	PINURESI	0.957	318	9540
0	40	PINUSTRO	0.757	972	29160
0	40	POPUGRAN	0.756	1381	41430
0	40	POPUTREM	0.901	1098	32940
0	40	PRUNPENS	0.984	1228	36840
0	40	PRUNSERO	0.325	1366	40980
0	40	QUERALBA	0.356	1279	38370
0	40	QUERRUBR	0.756	1012	30360
0	40	TILIAMER	0.451	1705	51150
0	40	TSUGCANA	0.694	470	14100
0	45	ABIEBALS	0.901	612	18360
0	45	ACERPENS	0.469	1133	11330
0	45	ACERRUBR	0.128	902	27060
0	45	ACERSACC	0.4	1239	37170
0	45	BETUALLE	0.718	1135	34050
0	45	BETULENT	0.125	1135	34050
0	45	BETUPAPY	0.889	1190	35700
0	45	CARYCORD	0.06	1323	39690
0	45	CARYOVAT	0	1323	39690
0	45	FAGUGRAN	0.103	1026	30780
0	45	FRAXAMER	0.115	1046	31380
0	45	PICEABIE	0.697	371	18550
0	45	PICERUBE	0.682	378	18900
0	45	PINURESI	0.889	305	9150
0	45	PINUSTRO	0.541	960	28800
0	45	POPUGRAN	0.54	1345	40350
0	45	POPUTREM	0.857	1061	31830
0	45	PRUNPENS	0.983	1192	35760
0	45	PRUNSERO	0.188	1334	40020
0	45	QUERALBA	0.204	1244	37320
0	45	QUERRUBR	0.579	975	29250
0	45	TILIAMER	0.123	1680	50400
0	45	TSUGCANA	0.525	546	16380
0	52	ABIEBALS	0.889	679	20370
0	52	ACERPENS	0.033	679	10350
0	52	ACERRUBR	0.006	679	20370
0	52	ACERSACC	0.04	543	16296
0	52	BETUALLE	0.279	543	16296
0	52	BETULENT	0	679	20370
0	52	BETUPAPY	0.901	679	20370
0	52	CARYCORD	0	679	20370
0	52	CARYOVAT	0	679	20370
0	52	FAGUGRAN	0.001	543	16296
0	52	FRAXAMER	0.002	679	20370
0	52	PICEABIE	0.268	679	20370
0	52	PICERUBE	0.264	679	20370
0	52	PINURESI	0.394	249	7470
0	52	PINUSTRO	0.196	679	20370
0	52	POPUGRAN	0.196	679	20370
0	52	POPUTREM	0.673	679	20370
0	52	PRUNPENS	0.886	679	20370
0	52	PRUNSERO	0.025	679	20370
0	52	QUERALBA	0.027	679	20370
0	52	QUERRUBR	0.306	679	20370
0	52	TILIAMER	0	679	20370
0	52	TSUGCANA	0.273	601	18030
0	53	ABIEBALS	0.834	667	20010
0	53	ACERPENS	0.013	667	10130
0	53	ACERRUBR	0.003	667	20010
0	53	ACERSACC	0.019	534	16008
0	53	BETUALLE	0.148	534	16008
0	53	BETULENT	0	667	20010
0	53	BETUPAPY	0.891	667	20010
0	53	CARYCORD	0	667	20010
0	53	CARYOVAT	0	667	20010
0	53	FAGUGRAN	0	534	16008
0	53	FRAXAMER	0.001	667	20010
0	53	PICEABIE	0.143	667	20010
0	53	PICERUBE	0.11	667	20010
0	53	PINURESI	0.21	236	7080
0	53	PINUSTRO	0.104	667	20010
0	53	POPUGRAN	0.104	667	20010
0	53	POPUTREM	0.578	667	20010
0	53	PRUNPENS	0.817	667	20010
0	53	PRUNSERO	0.011	667	20010
0	53	QUERALBA	0.012	667	20010
0	53	QUERRUBR	0.203	667	20010
0	53	TILIAMER	0	667	20010
0	53	TSUGCANA	0.181	590	17700
0	62	ABIEBALS	0.866	468	14040
0	62	ACERPENS	0.974	1172	11720
0	62	ACERRUBR	0.366	946	28380
0	62	ACERSACC	0.855	1273	38190
0	62	BETUALLE	0.997	1173	35190
0	62	BETULENT	0.732	1173	35190
0	62	BETUPAPY	0.505	1227	36810
0	62	CARYCORD	0.392	1346	40380
0	62	CARYOVAT	0	1346	40380
0	62	FAGUGRAN	0.403	1066	31980
0	62	FRAXAMER	0.385	1088	32640
0	62	PICEABIE	0.901	280	14000
0	62	PICERUBE	0.901	288	14400
0	62	PINURESI	0.737	321	9630
0	62	PINUSTRO	0.898	966	28980
0	62	POPUGRAN	0.897	1379	41370
0	62	POPUTREM	0.901	1103	33090
0	62	PRUNPENS	0.918	1226	36780
0	62	PRUNSERO	0.441	1363	40890
0	62	QUERALBA	0.48	1278	38340
0	62	QUERRUBR	0.878	1020	30600
0	62	TILIAMER	0.713	1690	50700
0	62	TSUGCANA	0.819	421	12630
0	65	ABIEBALS	0.697	680	20400
0	65	ACERPENS	0.002	680	9370
0	65	ACERRUBR	0.001	680	20400
0	65	ACERSACC	0.005	544	16320
0	65	BETUALLE	0.028	544	16320
0	65	BETULENT	0	680	20400
0	65	BETUPAPY	0.833	680	20400
0	65	CARYCORD	0	680	20400
0	65	CARYOVAT	0	680	20400
0	65	FAGUGRAN	0	544	16320
0	65	FRAXAMER	0	680	20400
0	65	PICEABIE	0.027	680	20400
0	65	PICERUBE	0.015	680	20400
0	65	PINURESI	0.039	195	5850
0	65	PINUSTRO	0.019	680	20400
0	65	POPUGRAN	0.019	680	20400
0	65	POPUTREM	0.388	680	20400
0	65	PRUNPENS	0.671	680	20400
0	65	PRUNSERO	0.002	680	20400
0	65	QUERALBA	0.003	680	20400
0	65	QUERRUBR	0.062	680	20400
0	65	TILIAMER	0	680	20400
0	65	TSUGCANA	0.055	596	17880
0	79	ABIEBALS	0.901	611	18330
0	79	ACERPENS	0.493	1134	11340
0	79	ACERRUBR	0.133	903	27090
0	79	ACERSACC	0.41	1239	37170
0	79	BETUALLE	0.725	1136	34080
0	79	BETULENT	0.139	1136	34080
0	79	BETUPAPY	0.883	1191	35730
0	79	CARYCORD	0.068	1322	39660
0	79	CARYOVAT	0	1322	39660
0	79	FAGUGRAN	0.113	1027	30810
0	79	FRAXAMER	0.122	1047	31410
